RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
595,16,Anthony Miller,FA,WR254,-,-,-
596,16,Miles Boykin,NYG,WR255,11,3 out of 5 stars,-
597,16,Penny Hart,FA,WR256,-,-,-
598,16,Raheim Sanders,FA,RB182,-,-,-
599,16,Cody Thompson,TB,WR257,11,3 out of 5 stars,-
600,16,Malik Taylor,NYJ,WR258,12,4 out of 5 stars,-
601,16,Sterling Shepard,TB,WR259,11,3 out of 5 stars,-
602,16,Britain Covey,PHI,WR260,5,2 out of 5 stars,-
603,16,Chris Conley,SF,WR261,9,2 out of 5 stars,-
604,16,Kayshon Boutte,NE,WR262,14,3 out of 5 stars,-
605,16,Richie James Jr.,FA,WR263,-,-,-
606,16,Dax Milne,WAS,WR264,14,3 out of 5 stars,-
607,16,Byron Pringle,FA,WR265,-,-,-
608,16,Marcus Kemp,FA,WR266,-,-,-
609,16,Jaxon Janke,FA,WR267,-,-,-
610,16,Brandon Johnson,DEN,WR268,14,2 out of 5 stars,-
611,16,J. Michael Sturdivant,FA,WR269,-,-,-
612,16,Erik Ezukanma,MIA,WR270,6,2 out of 5 stars,-
613,16,Reggie Begelton,FA,WR271,-,-,-
614,16,Julio Jones,FA,WR272,-,-,-
615,16,Tyre Brady,FA,WR273,-,-,-
616,16,De'Corian Clark,FA,WR274,-,-,-
617,16,Moose Muhammad III,FA,WR275,-,-,-
618,16,Tory Horton,FA,WR276,-,-,-
619,16,Theo Wease,FA,WR277,-,-,-
